name,creator,venue,description,type,max_athletes,max_photo,date,completed,sports
carve1,1,,,open,,,,0,
carve2,1,,,open,,,,1,
carve3,1,,,buddy,,,,0,
carve4,1,,,buddy,,,,1,
carve5,2,,,open,,,,0,
carve6,2,,,open,,,,1,
carve7,2,,,buddy,,,,0,
carve8,2,,,buddy,,,,1,
carve9,3,,,open,,,,0,
carve10,3,,,open,,,,1,
carve11,3,,,buddy,,,,0,
carve12,3,,,buddy,,,,1,
carve13,4,,,open,,,,0,
carve14,4,,,open,,,,1,
carve15,4,,,buddy,,,,0,
carve16,4,,,buddy,,,,1,
carve17,5,,,open,,,,0,
carve18,5,,,open,,,,1,
carve19,5,,,buddy,,,,0,
carve20,5,,,buddy,,,,1,
carve21,6,,,open,,,,0,
carve22,6,,,open,,,,1,
carve23,6,,,buddy,,,,0,
carve24,6,,,buddy,,,,1,
carve25,7,,,open,,,,0,
carve26,7,,,open,,,,1,
carve27,7,,,buddy,,,,0,
carve28,7,,,buddy,,,,1,
carve29,8,,,open,,,,0,
carve30,8,,,open,,,,1,
carve31,8,,,buddy,,,,0,
carve32,8,,,buddy,,,,1,
carve33,9,,,open,,,,0,
carve34,9,,,open,,,,1,
carve35,9,,,buddy,,,,0,
carve36,9,,,buddy,,,,1,
carve37,10,,,open,,,,0,
carve38,10,,,open,,,,1,
carve39,10,,,buddy,,,,0,
carve40,10,,,buddy,,,,1,
carve41,11,,,open,,,,0,
carve42,11,,,open,,,,1,
carve43,11,,,buddy,,,,0,
carve44,11,,,buddy,,,,1,
carve45,12,,,open,,,,0,
carve46,12,,,open,,,,1,
carve47,12,,,buddy,,,,0,
carve48,12,,,buddy,,,,1,
carve49,13,,,open,,,,0,
carve50,13,,,open,,,,1,
carve51,13,,,buddy,,,,0,
carve52,13,,,buddy,,,,1,
carve53,14,,,open,,,,0,
carve54,14,,,open,,,,1,
carve55,14,,,buddy,,,,0,
carve56,14,,,buddy,,,,1,
carve57,15,,,open,,,,0,
carve58,15,,,open,,,,1,
carve59,15,,,buddy,,,,0,
carve60,15,,,buddy,,,,1,
carve61,16,,,open,,,,0,
carve62,16,,,open,,,,1,
carve63,16,,,buddy,,,,0,
carve64,16,,,buddy,,,,1,
carve65,17,,,open,,,,0,
carve66,17,,,open,,,,1,
carve67,17,,,buddy,,,,0,
carve68,17,,,buddy,,,,1,
carve69,18,,,open,,,,0,
carve70,18,,,open,,,,1,
carve71,18,,,buddy,,,,0,
carve72,18,,,buddy,,,,1,
carve73,19,,,open,,,,0,
carve74,19,,,open,,,,1,
carve75,19,,,buddy,,,,0,
carve76,19,,,buddy,,,,1,
carve77,20,,,open,,,,0,
carve78,20,,,open,,,,1,
carve79,20,,,buddy,,,,0,
carve80,20,,,buddy,,,,1,
carve81,21,,,open,,,,0,
carve82,21,,,open,,,,1,
carve83,21,,,buddy,,,,0,
carve84,21,,,buddy,,,,1,
carve85,22,,,open,,,,0,
carve86,22,,,open,,,,1,
carve87,22,,,buddy,,,,0,
carve88,22,,,buddy,,,,1,
carve89,23,,,open,,,,0,
carve90,23,,,open,,,,1,
carve91,23,,,buddy,,,,0,
carve92,23,,,buddy,,,,1,
carve93,24,,,open,,,,0,
carve94,24,,,open,,,,1,
carve95,24,,,buddy,,,,0,
carve96,24,,,buddy,,,,1,
carve97,25,,,open,,,,0,
carve98,25,,,open,,,,1,
carve99,25,,,buddy,,,,0,
carve100,25,,,buddy,,,,1,
carve101,26,,,open,,,,0,
carve102,26,,,open,,,,1,
carve103,26,,,buddy,,,,0,
carve104,26,,,buddy,,,,1,
carve105,27,,,open,,,,0,
carve106,27,,,open,,,,1,
carve107,27,,,buddy,,,,0,
carve108,27,,,buddy,,,,1,
carve109,28,,,open,,,,0,
carve110,28,,,open,,,,1,
carve111,28,,,buddy,,,,0,
carve112,28,,,buddy,,,,1,
carve113,29,,,open,,,,0,
carve114,29,,,open,,,,1,
carve115,29,,,buddy,,,,0,
carve116,29,,,buddy,,,,1,
carve117,30,,,open,,,,0,
carve118,30,,,open,,,,1,
carve119,30,,,buddy,,,,0,
carve120,30,,,buddy,,,,1,
