venue_name,city,state,about,picture,snow_sports,water_sports,land_sports,air_sports,lattitude,longitude,url
Catamount,Hillsdale,NY,"Catamount, nestled in a picturesque bowl in the Berkshire Mountains, is a mountain for the entire family.  There is an extensive trail network for all abilities and spectacular views can be seen from many turns.",SkRs1,"Snowboard,Downhill Ski,Cross-Country Ski",,Mountain Bike,,41.176399,-74.09256,https://www.onthesnow.com/new-york/catamount-ski-ride-area/ski-resort.html
Holiday Valley,Ellicotville,NY,"Holiday Valley has 53 trails marked 35 percent for beginners, 27 percent intermediates, and 38 percent advanced skiers.",SkRs2,"Snowboard,Downhill Ski,Snowmobile,Cross-Country Ski",,,,42.264314,-78.664821,https://www.onthesnow.com/new-york/holiday-valley/ski-resort.html
Whiteface Mountain,WIlmington,NY,"With the biggest vertical drop of the eastern ski resorts (3,429 feet), Whiteface, NY, offers 288 skiable acres serviced by 11 lifts, including one gondola.",SkRs3,"Snowboard,Downhill Ski,Cross-Country Ski",,,Hang Glide,44.366984,-73.904448,https://www.onthesnow.com/new-york/whiteface-mountain-resort/ski-resort.html
Belleayre Mountain,Highmount,NY,"Belleayre offers something for everybody, from skiing to snowboarding to cross-country skiing.",SkRs4,"Snowboard,Downhill Ski,Snowmobile,Cross-Country Ski",,,,42.132086,-74.50558,https://www.onthesnow.com/new-york/belleayre/ski-resort.html
Gore Mountain ,North Creek,NY,"Located in the Adirondacks, Gore Mountain is New York State’s largest ski and ride resort. Boasting a vertical drop of 2,537 feet and 446 accessible acres",SkRs5,"Snowboard,Downhill Ski,Cross-Country Ski",,,,43.67327,-74.007092,https://www.onthesnow.com/new-york/gore-mountain/ski-resort.html
Jack Frost,White Haven,PA,Cool resort in PA. ,SkRs6,"Snowboard,Downhill Ski",,,,41.108388,-75.6515,https://www.onthesnow.com/pennsylvania/jack-frost/ski-resort.html
Camelback Mountain,Tannersville,PA,Awesome ski resort in PA.,SkRs7,"Snowboard,Downhill Ski,Snowmobile,Cross-Country Ski",,,,41.051092,-75.356211,https://www.onthesnow.com/pennsylvania/camelback-mountain-resort/ski-resort.html
Campgaw Mountain,Mahwah,NJ,"NJ ski resort, yes they exist.",SkRs8,"Snowboard,Downhill Ski",,"
",,41.05656,-74.197295,https://www.onthesnow.com/new-jersey/campgaw-mountain/ski-resort.html
Mountain Creek Resort,Vernon,NJ,"Another NJ ski resort, who knew.",SkRs6,"Snowboard,Downhill Ski,Snowmobile,Cross-Country Ski",,Mountain Bike,,41.189767,74.505371,https://www.onthesnow.com/new-jersey/mountain-creek-resort/ski-resort.html
Mount Snow,West Dover,VT,RJs favorite resort. ,SkRs4,"Snowboard,Downhill Ski",,,,42.959741,-72.919972,https://www.onthesnow.com/vermont/mount-snow/ski-resort.html
